tweet_id,tweet_time,tweet_text,location,retweets
1445441837905362952,2021-10-05 17:32:43,BREAKING: @Pfizer Scientists: ‘Your [COVID] Antibodies are Probably Better than the [Pfizer] Vaccination’'We’re Like Bred And Taught to be Like “Vaccine is Safer Than Actually Getting Covid”'“Our Organization is Run on Covid Money”#ExposePfizer https://t.co/n4ou00oJCR,"Minnesota, USA",0
1445432121133355016,2021-10-05 16:54:07,Pfizer scientist peeled out the lot when he got questioned. Why not be transparent on the vaccine bro? Why are you ducking and dodging the free press? Y’all need to be asking these questions,"Houston, TX",0
1445431830518194177,2021-10-05 16:52:57,Fast and efficient 3rd dose of Pfizer at Missoula Health Department’s covid vaccine site at Southgate Mall. Be sure and thank the providers and the National Guard Personnel for their service. They were busy! Appt was 10:20 out by 10:36 Lots of folks getting first shots now also.,"Missoula, MT",1
1445429089330819075,2021-10-05 16:42:04,"“The [Pfizer] vaccine’s effectiveness against infection did decline over time, however, falling from 88% during the first month after vaccination to 47% after five months.""https://t.co/xQlhPY2QFz","Tacoma, WA",0
1445428246477221894,2021-10-05 16:38:43,"@davez08944767 @cettobin @509Heidi @TMZ billions while spreading lies. The vaccine certainly helps, but it is criminal to force anyone to inject anything into their bodies that they don’t feel comfortable with. Imagine if Trump mandated this. Blm would burn down Pfizer headquarters lol","Boca Raton, FL",0
1445424741834100738,2021-10-05 16:24:47,BREAKING: @Pfizer Scientists: ‘Your [COVID] Antibodies are Probably Better than the [Pfizer] Vaccination’'We’re Like Bred And Taught to be Like “Vaccine is Safer Than Actually Getting Covid”'“Our Organization is Run on Covid Money”#ExposePfizer https://t.co/Q3tpPJp2XO,"Beaverton, OR",0
1445423149139566594,2021-10-05 16:18:28,BREAKING: @Pfizer Scientists: ‘Your [COVID] Antibodies are Probably Better than the [Pfizer] Vaccination’'We’re Like Bred And Taught to be Like “Vaccine is Safer Than Actually Getting Covid”'“Our Organization is Run on Covid Money”#ExposePfizer https://t.co/u4oHDcU2Mm,"Kings Point, FL",1
1445422471851610113,2021-10-05 16:15:46,BREAKING: @Pfizer Scientists: ‘Your [COVID] Antibodies are Probably Better than the [Pfizer] Vaccination’'We’re Like Bred And Taught to be Like “Vaccine is Safer Than Actually Getting Covid”'“Our Organization is Run on Covid Money”#ExposePfizer https://t.co/WCARJOEv7Q,"Little Canada, MN",0
1445421840323784710,2021-10-05 16:13:16,- The Pandora papers dropped- Mark Zuckerberg loses $6 Billion from FB/IG crash- The director of the NIH resigned- Project Veritas getting Pfizer to admit the vaccine is not as good as natural immunity &amp; they're purposely trying to scare us for profit.And it's only Monday,"Pensacola, FL",0
1445417201196957697,2021-10-05 15:54:49,BREAKING: @Pfizer Scientists: ‘Your [COVID] Antibodies are Probably Better than the [Pfizer] Vaccination’'We’re Like Bred And Taught to be Like “Vaccine is Safer Than Actually Getting Covid”'“Our Organization is Run on Covid Money”#ExposePfizer https://t.co/PAIUeTmsHN,"Carefree, AZ",0
1445414890273972226,2021-10-05 15:45:39,BREAKING: @Pfizer Scientists: ‘Your [COVID] Antibodies are Probably Better than the [Pfizer] Vaccination’'We’re Like Bred And Taught to be Like “Vaccine is Safer Than Actually Getting Covid”'“Our Organization is Run on Covid Money”#ExposePfizer https://t.co/1SH2zXjGVF,"Lee's Summit, MO",0
1445408027893501967,2021-10-05 15:18:22,"Just got my flu vaccine, and you should too! We all have a responsibility to maintain public health, and this is an easy way to do it- also, the flu shot hurts way less than Pfizer did","Narragansett, RI",0
1445397660844888074,2021-10-05 14:37:11,@CGasparino I think YOU missed the memo.  Watch the new Veritas video with Pfizer scientists.  Natural immunity &gt; vaccine by a long shot (pardon the pun).  You are supposed to be more informed than this.  🙄,"Horseshoe Bay, TX",0
1445394426088595467,2021-10-05 14:24:19,@michelle_magek @JackPosobiec @pfizer It's also proven that that the vaccine doesn't keep you from getting or giving Covid. It doesn't keep you from dying either.,"Alabama, USA",0
1445393852551081993,2021-10-05 14:22:03,Hopes rise that @pfizer  #COVID19Vaccination #Covid_19 #COVID #CovidVaccine will be authorized for use in children aged 5 to 11 by late October @BioNTech_Group @US_FDA  https://t.co/XHR1LT2J19,"Chantilly, VA",0
1445375434254848007,2021-10-05 13:08:51,BREAKING: @Pfizer Scientists: ‘Your [COVID] Antibodies are Probably Better than the [Pfizer] Vaccination’'We’re Like Bred And Taught to be Like “Vaccine is Safer Than Actually Getting Covid”'“Our Organization is Run on Covid Money”#ExposePfizer https://t.co/FHL2kEtsHe,"Cranston, RI",0
1445372655935397891,2021-10-05 12:57:49,BREAKING: @Pfizer Scientists: ‘Your [COVID] Antibodies are Probably Better than the [Pfizer] Vaccination’'We’re Like Bred And Taught to be Like “Vaccine is Safer Than Actually Getting Covid”'“Our Organization is Run on Covid Money”#ExposePfizer https://t.co/FHL2kEtsHe,"Cranston, RI",0
1445368901815132166,2021-10-05 12:42:54,BREAKING: @Pfizer Scientists: ‘Your [COVID] Antibodies are Probably Better than the [Pfizer] Vaccination’'We’re Like Bred And Taught to be Like “Vaccine is Safer Than Actually Getting Covid”'“Our Organization is Run on Covid Money”#ExposePfizer https://t.co/inHlan1SL5,"Weston, FL",0
1445367368646025221,2021-10-05 12:36:48,So a Pfizer scientist admitted that if you recovered from COVID then you are better protected from the variants than what their vaccine can because the vaccine effectiveness wanes.,"Columbia, TN",0
1445366448185032711,2021-10-05 12:33:09,BREAKING: @Pfizer Scientists: ‘Your [COVID] Antibodies are Probably Better than the [Pfizer] Vaccination’'We’re Like Bred And Taught to be Like “Vaccine is Safer Than Actually Getting Covid”'“Our Organization is Run on Covid Money”#ExposePfizer https://t.co/46xMT5t0yM,"Wichita, KS",0
1445362789460152321,2021-10-05 12:18:37,13-Year-Old Dies in Sleep After Receiving Pfizer COVID Vaccine; CDC Investigating https://t.co/eQxyLLYaMZ,"Chester, VA",193
1445360121425580033,2021-10-05 12:08:01,BREAKING: @Pfizer Scientists: ‘Your [COVID] Antibodies are Probably Better than the [Pfizer] Vaccination’'We’re Like Bred And Taught to be Like “Vaccine is Safer Than Actually Getting Covid”'“Our Organization is Run on Covid Money”#ExposePfizer https://t.co/82dCuAtOTt,"West Milford, NJ",0
1445347219289350149,2021-10-05 11:16:44,"If they've already had COVID their immunity is BETTER than the vaccine, per Pfizer's own scientists, who were caught admitting the truth to undercover volunteer journalists.https://t.co/ISUBK7rq2P https://t.co/onoTbm8n73","Tampa, FL",0
1445338567136395267,2021-10-05 10:42:22,BREAKING: @Pfizer Scientists: ‘Your [COVID] Antibodies are Probably Better than the [Pfizer] Vaccination’'We’re Like Bred And Taught to be Like “Vaccine is Safer Than Actually Getting Covid”'“Our Organization is Run on Covid Money”#ExposePfizer https://t.co/6gir8Lac6Q,"Pennsylvania, USA",0
1445333332523356161,2021-10-05 10:21:34,"Pfizer Covid shot protects people from hospitalization even as effectiveness against infection falls, Lancet study confirms https://t.co/DIe1dQlPgZ","Frisco, TX",0
1445308313277714435,2021-10-05 08:42:09,Thank you Senator Johnson for telling the truth!THE PFIZER VACCINE IS NOT FDA APPROVED. And they have known treatments but not allowing Doctors to have those drugs available to help those who need them.,"Coplay, PA",0
