tweet_id,tweet_time,tweet_text,location,retweets,vaccine
1440467086250110984,2021-09-22 00:04:50,"""The “Cocaine” crooner, who released an anti-vaccine anthem in August, did receive the AstraZeneca doses, however.""OH REALLY https://t.co/trvhTQfPHt","Altadena, CA",0,Astrazeneca
1439250330038964229,2021-09-18 15:29:53,@KimberleyeLeo Such a load of BS. The vaccine discrimination has begun. So if I got Astrazeneca from an African nation I am considered unvaccinated. 😑 I hope they can confirm if one can get another jab say Pfizer on top of the already taken vaccine.,"Manhattan, NY",2,Astrazeneca
1438683294091169792,2021-09-17 01:56:41,"Moderna sounds like it was named by a 5 year old, Pfizer sounds like a classic British dish, and AstraZeneca sounds like if a vaccine was also a Russian stripper https://t.co/VI2YCSRpPl","Charlotte, NC",0,Astrazeneca
1438670981300514828,2021-09-17 01:07:45,"everyone gets the mRNA vaccine. Even those who chose a viral vector vaccine are now being told that's not enough, and are told not to get another j&amp;j or AstraZeneca, but that they should still get a jab of 2 of Pfizer mRNA based. What is it about the mRNA vaccine that is causing","San Francisco, CA",0,Astrazeneca
1438662073068793857,2021-09-17 00:32:21,"(2/4) The Pfizer-BioNTech vaccine will now be named Comirnaty, the Moderna vaccine will be named SpikeVax, and the AstraZeneca vaccine will be named Vaxzevria. (Copypasta from @GovCanHealth ) https://t.co/ojVd6dOKTQ","Marietta, GA",0,Astrazeneca
1438550548458967040,2021-09-16 17:09:12,@ariellec AstraZeneca’s could be either a vaccine or a Serie B team,"Dumbarton, VA",0,Astrazeneca
1438466363723587585,2021-09-16 11:34:41,Some COVID-19 vaccines are associated with an extremely rare syndrome known as vaccine-induced thrombotic thrombocytopenia (VITT). It was discovered in March 2021 in connection to @AstraZeneca &amp; @JNJNews COVID-19 vaccines!Vessels to your balls can clot!https://t.co/d5gYUs0M0O,"Arlington, VA",0,Astrazeneca
1443375507404476416,2021-09-30 00:41:52,"On average, the chance of a white American having a potentially deadly blood clot is 3-in-1,000Germany stopped giving citizens under 60 the AstraZeneca vaccine after 31 severe blood clots in 2.7 MILLION people Great example of how overly-cautious vaccine roll-outs are https://t.co/6hrxKFBjve","Manhattan, NY",0,Astrazeneca
1443235329805275136,2021-09-29 15:24:51,"@thereal_truther @lsprogress @Leftylockdowns1 1. This study doesn’t account for disease severity, the most important factor.2. The vaccinated cohort included the prior infected too.3. And it still shows natural immunity &gt; AstraZeneca.So Prof Crotty’s assertion that “vaccine immunity did somewhat better” is nonsense.","Manhattan, NY",0,Astrazeneca
1444360252586086403,2021-10-02 17:54:53,"@HybridTinacris @GregWYoder @RubinReport Which vaccine? Astrazeneca? That vaccine is not allowed in the US, because of numerous issues.","Norwood, NJ",0,Astrazeneca
1443375507404476416,2021-09-30 00:41:52,"On average, the chance of a white American having a potentially deadly blood clot is 3-in-1,000Germany stopped giving citizens under 60 the AstraZeneca vaccine after 31 severe blood clots in 2.7 MILLION people Great example of how overly-cautious vaccine roll-outs are https://t.co/6hrxKFBjve","Manhattan, NY",0,Astrazeneca
1443235329805275136,2021-09-29 15:24:51,"@thereal_truther @lsprogress @Leftylockdowns1 1. This study doesn’t account for disease severity, the most important factor.2. The vaccinated cohort included the prior infected too.3. And it still shows natural immunity &gt; AstraZeneca.So Prof Crotty’s assertion that “vaccine immunity did somewhat better” is nonsense.","Manhattan, NY",0,Astrazeneca
1446009762571702275,2021-10-07 07:09:27,Got news from kampung that my sis and my mom finally got their first dose of AstraZeneca vaccine. Alhamdulillah 😭😭😭 https://t.co/k4gJZFtiYM,"Claremont, CA",0,AstraZeneca
1448087211535224838,2021-10-13 00:44:30,"A total of 789 people in Taiwan died after receiving the new crown vaccine, mostly related to AstraZeneca vaccine https://t.co/0Sez9YCWu3","New Albany, IN",0,AstraZeneca
1448457201857744899,2021-10-14 01:14:42,Imagine going to all the trouble of stealing a vaccine and you end up with AstraZeneca https://t.co/L8z5JDpnYO,"Brooklyn, NY",0,AstraZeneca
